"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SERPINE1",472.296278761365,1.11267890275255,0.151209698930168,7.3585154300612,1.85966764180986e-13,2.94868901285371e-09
"TCF7",680.205179135474,0.57517157207251,0.0822461275702281,6.99329669450254,2.68500848955514e-12,2.12867473051931e-08
"EPS8L3",154.566987856477,1.32981495905121,0.192613545815082,6.90405731031966,5.05378955327888e-12,2.67109623855966e-08
"CTNNAL1",1117.86605407115,-0.537815660318436,0.0834756382662863,-6.44278584133506,1.17300159977765e-10,4.64977834151859e-07
"TNFRSF6B",610.722518719429,1.48218062141454,0.239487130779994,6.18897815756185,6.05554725881528e-10,1.9203351467155e-06
"FFAR2",230.602082363444,1.29674204759822,0.21648115036226,5.99009218783366,2.09722124645994e-09,4.75050572626698e-06
"RTEL1-TNFRSF6B",1563.9463757505,0.712480548140912,0.118663614080158,6.00420401539114,1.92272814602837e-09,4.75050572626698e-06
"CLDN8",619.304362049494,-0.820897227000742,0.138161310932016,-5.94158539364665,2.82278625262611e-09,5.59476235270495e-06
"IL23A",130.666091866462,0.794564801240018,0.135073606557915,5.88245787972896,4.04218225924359e-09,5.6264408299291e-06
"DUOX2",2920.90747927252,0.972014129690206,0.165481898726539,5.87383959919673,4.25815400852354e-09,5.6264408299291e-06
"LPCAT1",698.015318716179,0.55200920069283,0.0938616589033511,5.88109359180655,4.07564614468362e-09,5.6264408299291e-06
"ECI2",1127.55658229203,-0.666340512871463,0.11293767588649,-5.90007282902809,3.63341153616129e-09,5.6264408299291e-06
"SOCS2",81.0862644462737,0.8107690428974,0.141032436198829,5.74881257638042,8.98723734799178e-09,1.09616642607506e-05
"MIR548N",62.2624541866053,-0.761893461492207,0.132933776456574,-5.73137604152168,9.96191377270498e-09,1.12825789128579e-05
"CD177",1309.75490768685,1.74054006025093,0.304338130904792,5.71909952616302,1.07090057522246e-08,1.13201330138183e-05
"HRASLS",88.7957952600546,0.61451043728502,0.108452397859167,5.66617658452332,1.46019044876181e-08,1.36192822091572e-05
"FAM134B",891.195341261243,-0.470132967519028,0.0828293788112313,-5.67592047974263,1.37944852919925e-08,1.36192822091572e-05
"ADM",220.354410205508,0.902445589269797,0.160037368556976,5.63896793234582,1.71072387837761e-08,1.42764409555555e-05
"LINC01170",137.271863512052,-0.851402330653324,0.150902729321678,-5.64206051461402,1.68027017080607e-08,1.42764409555555e-05
"ITGBL1",345.067993382168,-0.752186892443803,0.134311301530193,-5.60032464784592,2.13950734976636e-08,1.69620142689477e-05
